"","X.1","X","Year","Pack","Pack.Size","Number.Packs","Population.Size","Elk","index"
"1",1,1,1997,"642F GROUP",0,8,69,15492,1
"2",2,2,1998,"642F GROUP",0,7,70,15499,1
"3",3,3,1999,"642F GROUP",0,8,61,19191,1
"4",4,4,2000,"642F GROUP",0,9,96,17688,1
"5",5,5,2001,"642F GROUP",0,11,124,15799,1
"6",6,6,2002,"642F GROUP",0,11,92,12164,1
"7",7,7,2003,"642F GROUP",0,11,86,11002,1
"8",8,8,2004,"642F GROUP",0,11,121,12599,1
"9",9,9,2005,"642F GROUP",0,15,79,8696,1
"10",10,10,2006,"642F GROUP",0,13,113,8894,1
"11",11,11,2007,"642F GROUP",0,11,111,8288,1
"12",12,12,2008,"642F GROUP",0,16,82,9384,1
"13",13,13,2009,"642F GROUP",0,16,82,8012,1
"14",14,14,2010,"642F GROUP",0,11,59,6118,1
"15",15,15,2011,"642F GROUP",6,10,98,5510,1
"16",16,16,2012,"642F GROUP",0,8,69,5168,1
"17",17,17,2013,"642F GROUP",0,12,79,5781,0
"18",18,18,2014,"642F GROUP",0,9,85,6394,0
"19",19,19,2015,"642F GROUP",0,8,50,6484,0
"20",20,20,2016,"642F GROUP",0,6,52,7061,0
"21",21,21,1997,"682M GROUP",0,8,69,15492,1
"22",22,22,1998,"682M GROUP",0,7,70,15499,1
"23",23,23,1999,"682M GROUP",0,8,61,19191,1
"24",24,24,2000,"682M GROUP",0,9,96,17688,1
"25",25,25,2001,"682M GROUP",0,11,124,15799,1
"26",26,26,2002,"682M GROUP",0,11,92,12164,1
"27",27,27,2003,"682M GROUP",0,11,86,11002,1
"28",28,28,2004,"682M GROUP",0,11,121,12599,1
"29",29,29,2005,"682M GROUP",0,15,79,8696,1
"30",30,30,2006,"682M GROUP",0,13,113,8894,1
"31",31,31,2007,"682M GROUP",0,11,111,8288,1
"32",32,32,2008,"682M GROUP",0,16,82,9384,1
"33",33,33,2009,"682M GROUP",2,16,82,8012,1
"34",34,34,2010,"682M GROUP",0,11,59,6118,1
"35",35,35,2011,"682M GROUP",0,10,98,5510,0
"36",36,36,2012,"682M GROUP",0,8,69,5168,0
"37",37,37,2013,"682M GROUP",0,12,79,5781,0
"38",38,38,2014,"682M GROUP",0,9,85,6394,0
"39",39,39,2015,"682M GROUP",0,8,50,6484,0
"40",40,40,2016,"682M GROUP",0,6,52,7061,0
"41",41,41,1997,"694F GROUP",0,8,69,15492,1
"42",42,42,1998,"694F GROUP",0,7,70,15499,1
"43",43,43,1999,"694F GROUP",0,8,61,19191,1
"44",44,44,2000,"694F GROUP",0,9,96,17688,1
"45",45,45,2001,"694F GROUP",0,11,124,15799,1
"46",46,46,2002,"694F GROUP",0,11,92,12164,1
"47",47,47,2003,"694F GROUP",0,11,86,11002,1
"48",48,48,2004,"694F GROUP",0,11,121,12599,1
"49",49,49,2005,"694F GROUP",0,15,79,8696,1
"50",50,50,2006,"694F GROUP",0,13,113,8894,1
"51",51,51,2007,"694F GROUP",0,11,111,8288,1
"52",52,52,2008,"694F GROUP",3,16,82,9384,1
"53",53,53,2009,"694F GROUP",0,16,82,8012,1
"54",54,54,2010,"694F GROUP",0,11,59,6118,0
"55",55,55,2011,"694F GROUP",0,10,98,5510,0
"56",56,56,2012,"694F GROUP",0,8,69,5168,0
"57",57,57,2013,"694F GROUP",0,12,79,5781,0
"58",58,58,2014,"694F GROUP",0,9,85,6394,0
"59",59,59,2015,"694F GROUP",0,8,50,6484,0
"60",60,60,2016,"694F GROUP",0,6,52,7061,0
"61",61,61,1997,"755M/889F GROUP",0,8,69,15492,1
"62",62,62,1998,"755M/889F GROUP",0,7,70,15499,1
"63",63,63,1999,"755M/889F GROUP",0,8,61,19191,1
"64",64,64,2000,"755M/889F GROUP",0,9,96,17688,1
"65",65,65,2001,"755M/889F GROUP",0,11,124,15799,1
"66",66,66,2002,"755M/889F GROUP",0,11,92,12164,1
"67",67,67,2003,"755M/889F GROUP",0,11,86,11002,1
"68",68,68,2004,"755M/889F GROUP",0,11,121,12599,1
"69",69,69,2005,"755M/889F GROUP",0,15,79,8696,1
"70",70,70,2006,"755M/889F GROUP",0,13,113,8894,1
"71",71,71,2007,"755M/889F GROUP",0,11,111,8288,1
"72",72,72,2008,"755M/889F GROUP",0,16,82,9384,1
"73",73,73,2009,"755M/889F GROUP",0,16,82,8012,1
"74",74,74,2010,"755M/889F GROUP",0,11,59,6118,1
"75",75,75,2011,"755M/889F GROUP",0,10,98,5510,1
"76",76,76,2012,"755M/889F GROUP",0,8,69,5168,1
"77",77,77,2013,"755M/889F GROUP",2,12,79,5781,1
"78",78,78,2014,"755M/889F GROUP",2,9,85,6394,1
"79",79,79,2015,"755M/889F GROUP",0,8,50,6484,1
"80",80,80,2016,"755M/889F GROUP",0,6,52,7061,0
"81",81,81,1997,"8 MILE",0,8,69,15492,1
"82",82,82,1998,"8 MILE",0,7,70,15499,1
"83",83,83,1999,"8 MILE",0,8,61,19191,1
"84",84,84,2000,"8 MILE",0,9,96,17688,1
"85",85,85,2001,"8 MILE",0,11,124,15799,1
